PRCDDA,Province,Dissemination area (DA) Population,Residential instability Quintiles,Residential instability Scores,Economic dependency Quintiles,Economic dependency Scores,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Situational vulnerability Quintiles,Situational vulnerability Scores
35202145,Ontario,770,5,2.044,1,-1.411,5,3.185,3,-0.215
35202147,Ontario,731,5,1.811,5,1.821,5,1.133,2,-0.448
35202149,Ontario,590,3,-0.169,2,-0.374,5,0.999,3,-0.274
35202150,Ontario,544,4,-0.065,2,-0.594,4,0.417,2,-0.453
35202151,Ontario,650,2,-0.588,4,0.189,5,0.907,3,-0.167
35202152,Ontario,1916,5,1.968,1,-1.179,5,1.058,1,-1.061
35202153,Ontario,444,4,0.103,3,0.088,5,1.650,3,-0.274
35202154,Ontario,700,5,1.245,2,-0.362,5,2.546,3,-0.041
35202155,Ontario,658,5,0.912,2,-0.702,5,1.620,2,-0.608
35202156,Ontario,511,1,-0.877,5,0.711,4,0.609,1,-0.646
35202157,Ontario,378,4,0.340,2,-0.399,4,0.361,3,-0.177
35202158,Ontario,446,1,-0.973,4,0.452,4,0.326,1,-0.628
35202159,Ontario,72,1,-1.548,3,-0.010,5,1.689,4,0.112
35202160,Ontario,426,1,-0.855,5,1.383,4,0.614,2,-0.401
35202161,Ontario,898,3,-0.119,3,-0.057,5,1.083,4,0.100
35202162,Ontario,545,4,0.663,4,0.391,5,2.212,4,0.144
35202163,Ontario,581,5,1.026,2,-0.534,5,1.554,4,0.249
35202164,Ontario,605,4,0.743,2,-0.509,5,1.510,4,-0.008
35202165,Ontario,908,4,0.379,3,0.109,5,1.959,2,-0.351
35202166,Ontario,501,4,0.461,5,1.062,5,2.319,4,0.084
35202167,Ontario,475,3,-0.348,5,0.755,5,2.086,4,0.271
35202168,Ontario,387,5,1.568,4,0.117,5,2.905,5,0.418
35202169,Ontario,520,5,1.035,4,0.265,5,2.994,5,0.907
35202170,Ontario,417,4,0.390,5,1.018,5,0.886,4,0.380
35202171,Ontario,311,5,1.381,3,-0.294,5,3.231,5,0.857
35202172,Ontario,888,4,0.428,5,0.700,5,2.672,5,0.964
35202173,Ontario,716,4,0.727,4,0.220,5,1.043,5,0.717
35202174,Ontario,281,1,-0.905,5,1.763,5,1.454,5,0.690
35202175,Ontario,461,1,-0.968,3,-0.047,5,0.897,4,0.057
35202176,Ontario,336,1,-1.185,5,0.979,4,0.274,1,-0.753
35202177,Ontario,607,2,-0.708,4,0.656,4,0.300,3,-0.255
35202178,Ontario,647,4,0.458,5,0.801,5,2.025,4,0.304
35202179,Ontario,545,5,1.569,5,0.845,5,2.070,5,0.530
35202180,Ontario,975,5,0.949,4,0.369,5,2.567,4,0.197
35202181,Ontario,757,5,1.577,3,-0.042,5,1.975,4,0.032
35202183,Ontario,410,2,-0.544,5,1.779,5,1.226,3,-0.111
35202184,Ontario,894,5,0.825,3,0.085,5,2.024,5,0.645
35202185,Ontario,286,4,0.362,2,-0.355,5,2.615,3,-0.076
35202186,Ontario,430,2,-0.570,5,1.491,5,0.755,2,-0.377
35202187,Ontario,489,3,-0.337,5,0.817,4,0.521,2,-0.473
35202188,Ontario,312,2,-0.582,5,1.315,5,1.180,4,0.203
35202189,Ontario,433,4,0.225,2,-0.489,5,2.415,5,0.601
35202210,Ontario,210,2,-0.600,4,0.666,5,1.061,5,0.777
35202211,Ontario,313,3,-0.342,2,-0.667,5,1.381,3,-0.156
35202212,Ontario,550,3,-0.343,3,0.009,5,2.325,4,0.049
35202213,Ontario,530,2,-0.558,5,0.940,5,1.722,5,1.532
35202214,Ontario,456,2,-0.730,4,0.327,5,1.471,3,-0.304
35202215,Ontario,593,4,0.020,3,0.051,5,1.310,3,-0.110
35202216,Ontario,411,2,-0.519,5,0.834,5,1.319,4,0.351
35202217,Ontario,363,4,0.698,3,-0.308,5,2.272,5,0.477
35202218,Ontario,485,3,-0.389,4,0.320,5,1.853,5,0.604
35202222,Ontario,619,5,1.120,3,-0.199,5,2.454,3,-0.184
35202223,Ontario,532,3,-0.248,3,-0.061,5,1.431,2,-0.492
35202224,Ontario,369,3,-0.424,3,-0.001,5,1.783,3,-0.245
35202225,Ontario,363,5,2.055,1,-0.890,5,2.533,5,0.701
35202226,Ontario,488,4,0.493,4,0.606,5,2.575,4,0.057
35202227,Ontario,547,5,1.394,4,0.416,5,0.733,4,-0.031
35202228,Ontario,481,2,-0.813,1,-0.921,4,0.216,2,-0.581
35202229,Ontario,422,3,-0.414,4,0.654,5,0.951,3,-0.206
35202230,Ontario,404,4,0.229,2,-0.751,5,1.477,4,0.248
35202231,Ontario,477,5,0.994,4,0.231,5,1.274,5,1.504
35202232,Ontario,516,4,0.811,2,-0.551,5,1.636,5,0.460
35202233,Ontario,425,2,-0.593,4,0.132,5,2.409,5,0.502
35202234,Ontario,592,4,0.236,2,-0.334,5,1.566,4,0.048
35202235,Ontario,507,5,0.870,2,-0.619,5,1.824,5,0.496
35202236,Ontario,511,5,1.749,1,-0.926,5,3.792,4,0.082
35202237,Ontario,515,4,0.563,4,0.111,5,1.544,4,0.188
35202238,Ontario,484,4,0.313,3,-0.247,5,2.217,3,-0.297
35202239,Ontario,515,5,0.992,1,-0.849,5,2.443,4,0.095
35202240,Ontario,628,4,-0.018,3,-0.264,5,1.917,4,0.181
35202241,Ontario,932,5,2.673,5,2.293,5,3.176,3,-0.071
35202242,Ontario,316,5,2.839,5,3.262,5,1.934,1,-0.715
35202243,Ontario,661,4,0.255,4,0.385,5,2.462,4,0.038
35202244,Ontario,535,3,-0.334,4,0.370,5,1.897,4,0.098
35202245,Ontario,680,5,1.201,2,-0.647,5,2.266,4,0.103
35202246,Ontario,378,4,0.366,2,-0.436,5,1.622,2,-0.430
35202247,Ontario,553,5,0.849,2,-0.719,5,1.876,5,0.537
35202248,Ontario,443,4,0.045,2,-0.699,5,1.067,4,0.239
35202249,Ontario,338,5,0.885,2,-0.325,5,1.983,5,0.391
35202251,Ontario,468,4,0.560,3,-0.299,5,1.073,4,-0.005
35202252,Ontario,353,5,1.171,1,-1.275,4,0.519,2,-0.349
35202254,Ontario,480,1,-1.008,3,-0.263,3,-0.425,1,-0.893
35202255,Ontario,513,3,-0.078,1,-1.447,4,0.373,1,-1.121
35202256,Ontario,495,1,-1.251,3,-0.285,4,-0.119,1,-0.704
35202257,Ontario,563,5,0.989,5,0.966,4,0.425,3,-0.263
35202258,Ontario,496,4,0.421,2,-0.431,5,0.924,1,-0.715
35202261,Ontario,552,4,0.036,1,-0.853,4,-0.181,1,-0.898
35202262,Ontario,691,5,2.049,2,-0.675,5,1.602,4,0.246
35202263,Ontario,709,5,1.991,4,0.259,4,0.563,1,-0.797
35202264,Ontario,595,5,2.141,4,0.277,4,0.339,1,-0.722
35202265,Ontario,925,5,1.827,1,-1.330,5,2.047,1,-0.752
35202266,Ontario,575,5,2.291,5,0.984,5,1.471,1,-0.880
35202267,Ontario,675,5,1.202,2,-0.364,4,0.540,3,-0.297
35202268,Ontario,678,5,0.927,2,-0.451,4,0.365,1,-0.849
35202269,Ontario,943,2,-0.775,1,-0.788,3,-0.440,1,-0.775
35202270,Ontario,504,5,1.184,3,-0.157,5,1.021,3,-0.192
35202271,Ontario,416,2,-0.773,2,-0.506,3,-0.341,2,-0.410
35202272,Ontario,600,2,-0.622,3,-0.005,4,0.053,2,-0.546
35202273,Ontario,681,5,1.060,3,-0.242,5,0.927,1,-0.881
35202274,Ontario,717,5,1.624,5,1.022,4,0.504,1,-0.673
35202275,Ontario,597,5,1.801,5,2.718,5,1.572,2,-0.519
35202276,Ontario,666,3,-0.358,3,-0.081,4,0.186,3,-0.057
35202277,Ontario,505,5,1.537,2,-0.623,5,0.795,2,-0.367
35202278,Ontario,644,4,0.280,4,0.321,5,0.999,4,0.001
35202279,Ontario,1255,5,1.521,3,-0.017,5,1.339,4,0.117
35202280,Ontario,161,5,1.903,5,0.891,5,1.999,5,2.015
35202281,Ontario,531,5,0.962,1,-0.989,4,0.312,4,0.216
35202282,Ontario,484,5,1.023,3,-0.051,5,1.674,3,-0.276
35202283,Ontario,475,4,0.099,4,0.403,5,1.330,3,-0.114
35202284,Ontario,484,4,0.085,4,0.413,5,0.972,3,-0.239
35202285,Ontario,733,5,1.686,4,0.518,4,0.624,4,0.196
35202286,Ontario,363,3,-0.500,5,0.686,4,0.548,4,0.235
35202287,Ontario,416,1,-1.125,5,1.090,5,1.431,4,0.017
35202288,Ontario,339,2,-0.530,5,0.832,5,0.958,2,-0.599
35202289,Ontario,369,3,-0.175,3,-0.221,5,1.055,4,0.111
35202290,Ontario,1409,4,0.673,4,0.243,5,3.063,5,0.782
35202293,Ontario,448,4,0.088,3,-0.118,5,1.805,4,0.138
35202294,Ontario,389,2,-0.653,5,0.996,5,0.897,3,-0.049
35202295,Ontario,476,3,-0.382,4,0.476,4,0.546,4,0.136
35202296,Ontario,474,5,0.979,4,0.488,5,1.657,5,0.446
35202297,Ontario,530,3,-0.340,4,0.495,4,0.529,3,-0.309
35202298,Ontario,442,1,-1.308,5,1.316,5,1.700,3,-0.081
35202299,Ontario,635,2,-0.583,5,1.352,5,1.687,4,0.268
35202300,Ontario,499,4,0.061,2,-0.510,5,1.238,1,-0.622
35202301,Ontario,510,4,0.144,4,0.335,5,1.252,2,-0.427
35202302,Ontario,441,2,-0.734,4,0.118,4,0.028,2,-0.403
35202303,Ontario,417,4,0.075,3,-0.310,4,0.075,2,-0.373
35202304,Ontario,636,3,-0.505,3,-0.151,4,0.028,1,-0.711
35202305,Ontario,626,4,0.588,2,-0.565,4,0.271,1,-0.640
35202306,Ontario,530,4,0.000,2,-0.689,4,0.140,2,-0.475
35202307,Ontario,413,5,0.832,3,-0.171,4,-0.187,1,-0.913
35202309,Ontario,627,1,-0.835,2,-0.549,3,-0.400,1,-0.864
35202310,Ontario,394,3,-0.245,1,-0.951,5,1.044,1,-0.863
35202311,Ontario,515,5,1.613,1,-0.970,5,2.078,4,0.094
35202316,Ontario,970,5,1.815,2,-0.767,5,1.939,2,-0.410
35202321,Ontario,563,4,0.684,4,0.338,5,1.414,4,0.181
35202322,Ontario,553,5,0.934,1,-1.397,5,1.816,2,-0.479
35202323,Ontario,431,3,-0.365,5,0.848,4,0.037,3,-0.234
35202324,Ontario,419,4,0.055,1,-0.925,5,0.753,3,-0.264
35202325,Ontario,591,1,-1.222,4,0.192,3,-0.373,1,-0.824
35202326,Ontario,542,4,-0.016,2,-0.413,4,-0.068,2,-0.565
35202327,Ontario,565,2,-0.758,2,-0.625,3,-0.221,1,-0.677
35202328,Ontario,623,3,-0.259,2,-0.377,4,0.069,1,-0.861
35202336,Ontario,616,2,-0.735,1,-1.062,3,-0.338,1,-0.864
35202337,Ontario,436,4,0.451,3,-0.224,4,0.095,2,-0.442
35202338,Ontario,371,4,0.532,3,-0.103,3,-0.386,4,0.167
35202339,Ontario,444,5,1.918,5,1.794,4,0.616,3,-0.098
35202340,Ontario,457,4,0.696,4,0.631,3,-0.423,3,-0.233
35202341,Ontario,551,2,-0.714,1,-1.098,4,-0.126,1,-0.668
35202342,Ontario,989,5,1.169,3,-0.223,5,0.741,1,-1.201
35202343,Ontario,538,1,-1.108,1,-0.822,4,-0.091,1,-0.753
35202344,Ontario,508,2,-0.538,4,0.120,4,0.634,1,-0.824
35202345,Ontario,804,5,0.977,1,-0.974,5,0.674,1,-0.758
35202346,Ontario,621,5,1.990,1,-1.390,5,1.484,1,-0.844
35202347,Ontario,390,5,1.943,2,-0.433,4,-0.002,2,-0.505
35202348,Ontario,532,3,-0.381,2,-0.466,4,0.174,2,-0.526
35202349,Ontario,498,2,-0.801,4,0.557,4,-0.077,1,-0.729
35202350,Ontario,599,4,0.476,3,-0.239,3,-0.354,2,-0.475
35202351,Ontario,464,1,-1.047,2,-0.429,3,-0.533,2,-0.604
35202352,Ontario,511,2,-0.565,2,-0.762,3,-0.307,2,-0.500
35202353,Ontario,592,1,-0.946,1,-0.834,4,-0.136,1,-0.770
35202354,Ontario,383,3,-0.501,2,-0.602,4,-0.036,1,-0.957
35202355,Ontario,936,3,-0.344,1,-1.042,3,-0.206,1,-0.805
35202356,Ontario,535,2,-0.644,1,-0.973,4,0.172,2,-0.597
35202357,Ontario,575,1,-0.841,2,-0.420,4,-0.090,1,-0.651
35202358,Ontario,422,2,-0.810,2,-0.486,4,-0.106,1,-0.991
35202359,Ontario,525,4,0.217,2,-0.706,4,0.027,2,-0.574
35202360,Ontario,625,2,-0.558,3,-0.081,4,0.202,2,-0.615
35202361,Ontario,429,1,-0.842,2,-0.755,3,-0.246,2,-0.480
35202362,Ontario,274,5,1.510,4,0.146,4,0.402,1,-0.680
35202363,Ontario,909,3,-0.170,5,2.073,3,-0.251,1,-1.295
35202364,Ontario,424,1,-1.184,1,-0.922,3,-0.486,1,-0.894
35202365,Ontario,373,2,-0.766,4,0.350,4,-0.137,2,-0.411
35202366,Ontario,446,1,-1.084,2,-0.665,3,-0.419,3,-0.153
35202367,Ontario,766,1,-0.833,2,-0.644,4,-0.111,2,-0.494
35202368,Ontario,501,1,-1.088,2,-0.557,3,-0.527,1,-0.656
35202369,Ontario,562,1,-0.925,2,-0.605,3,-0.197,1,-1.065
35202370,Ontario,571,2,-0.749,3,-0.150,3,-0.347,1,-0.918
35202371,Ontario,713,1,-1.099,2,-0.435,3,-0.367,1,-0.696
35202372,Ontario,472,3,-0.386,2,-0.655,4,-0.045,1,-0.690
35202373,Ontario,647,5,1.571,5,1.500,5,0.653,1,-0.743
35202374,Ontario,625,4,0.780,2,-0.636,4,0.200,2,-0.471
35202375,Ontario,440,4,0.402,1,-1.458,3,-0.359,1,-0.752
35202376,Ontario,652,1,-0.866,3,-0.225,3,-0.318,1,-1.012
35202377,Ontario,569,2,-0.798,2,-0.664,4,0.236,1,-0.817
35202378,Ontario,782,4,0.477,3,-0.065,4,0.208,1,-0.796
35202379,Ontario,352,4,0.635,1,-1.053,4,-0.071,4,0.132
35202380,Ontario,510,1,-0.963,2,-0.440,4,0.129,2,-0.397
35202381,Ontario,454,1,-1.103,3,-0.122,4,-0.077,1,-0.782
35202382,Ontario,606,2,-0.678,2,-0.747,3,-0.344,2,-0.595
35202383,Ontario,676,2,-0.792,1,-0.949,3,-0.195,1,-0.738
35202384,Ontario,625,2,-0.727,3,-0.231,3,-0.287,2,-0.517
35202385,Ontario,677,1,-0.983,2,-0.606,3,-0.259,1,-0.980
35202386,Ontario,1180,3,-0.093,2,-0.384,5,0.676,1,-0.661
35202387,Ontario,577,2,-0.774,3,-0.274,4,-0.118,2,-0.521
35202388,Ontario,1092,2,-0.600,3,-0.095,4,0.135,1,-0.991
35202389,Ontario,751,3,-0.371,2,-0.588,4,0.231,1,-0.695
35202390,Ontario,399,1,-1.180,1,-0.847,4,0.053,1,-1.137
35202391,Ontario,587,1,-0.915,1,-1.033,4,0.184,1,-0.708
35202392,Ontario,912,3,-0.397,2,-0.668,4,0.122,1,-0.699
35202393,Ontario,545,3,-0.268,3,-0.115,4,0.371,1,-0.668
35202394,Ontario,451,1,-1.019,1,-0.951,4,-0.106,1,-0.936
35202395,Ontario,683,5,1.515,2,-0.494,5,1.156,2,-0.456
35202396,Ontario,485,2,-0.600,1,-0.824,2,-0.552,1,-0.961
35202398,Ontario,1248,4,0.641,2,-0.507,5,0.892,2,-0.495
35202399,Ontario,448,2,-0.786,2,-0.751,4,-0.002,3,-0.134
35202400,Ontario,639,1,-0.926,1,-0.834,3,-0.218,1,-0.749
35202401,Ontario,633,4,0.008,2,-0.735,5,0.722,2,-0.400
35202402,Ontario,537,4,0.288,1,-0.805,5,0.925,2,-0.519
35202403,Ontario,1322,5,1.473,2,-0.418,5,1.465,2,-0.548
35202404,Ontario,615,5,1.178,3,-0.212,5,1.847,2,-0.480
35202405,Ontario,594,5,1.004,2,-0.719,5,1.194,2,-0.471
35202406,Ontario,911,5,1.296,5,1.484,5,1.441,1,-1.020
35202407,Ontario,256,5,1.490,4,0.551,5,1.021,2,-0.595
35202408,Ontario,567,3,-0.273,3,0.071,4,0.565,1,-0.861
35202409,Ontario,672,5,1.492,2,-0.405,5,2.365,2,-0.431
35202413,Ontario,458,1,-0.920,1,-0.865,4,0.052,1,-0.746
35202414,Ontario,182,2,-0.678,4,0.284,4,0.303,3,-0.320
35202415,Ontario,404,3,-0.346,2,-0.450,5,1.281,1,-0.627
35202416,Ontario,363,3,-0.248,2,-0.648,5,0.970,1,-0.823
35202417,Ontario,370,3,-0.451,2,-0.475,4,0.562,2,-0.441
35202418,Ontario,460,2,-0.576,2,-0.689,4,0.374,3,-0.200
35202419,Ontario,419,4,-0.054,4,0.319,5,0.947,3,-0.259
35202430,Ontario,2025,5,1.458,3,-0.064,5,2.788,2,-0.604
35202431,Ontario,2745,5,1.644,2,-0.577,5,2.948,2,-0.605
35202433,Ontario,1849,5,1.666,2,-0.395,5,2.800,3,-0.266
35202436,Ontario,479,3,-0.183,3,0.080,5,2.627,2,-0.537
35202439,Ontario,570,3,-0.273,4,0.157,5,3.003,3,-0.295
35202440,Ontario,401,2,-0.752,3,-0.301,5,2.051,2,-0.365
35202441,Ontario,706,3,-0.393,3,-0.136,5,3.051,3,-0.135
35202442,Ontario,386,3,-0.342,5,1.219,5,1.510,2,-0.432
35202443,Ontario,987,5,0.916,5,1.249,5,2.132,1,-1.081
35202446,Ontario,330,2,-0.804,5,1.323,5,1.881,1,-0.700
35202447,Ontario,216,1,-1.253,5,0.974,5,2.171,1,-0.991
35202448,Ontario,322,2,-0.572,1,-0.879,5,2.097,2,-0.475
35202449,Ontario,471,1,-1.001,3,0.078,5,1.410,2,-0.470
35202450,Ontario,335,1,-0.824,4,0.389,5,1.786,1,-0.797
35202451,Ontario,748,2,-0.578,4,0.112,5,2.302,2,-0.427
35202452,Ontario,249,1,-0.909,5,1.490,5,2.834,1,-0.700
35202453,Ontario,644,2,-0.511,4,0.393,5,2.491,1,-0.662
35202454,Ontario,886,3,-0.148,3,0.033,5,3.274,2,-0.406
35202455,Ontario,473,1,-0.875,4,0.660,5,2.467,2,-0.495
35202456,Ontario,342,1,-1.001,4,0.299,5,1.627,1,-0.622
35202457,Ontario,282,2,-0.650,5,0.782,5,1.636,4,0.083
35202458,Ontario,362,2,-0.657,4,0.158,5,1.757,2,-0.488
35202459,Ontario,368,3,-0.508,5,1.451,5,2.119,2,-0.505
35202460,Ontario,374,2,-0.768,5,1.053,5,2.518,3,-0.197
35202461,Ontario,340,3,-0.501,4,0.162,5,2.997,3,-0.049
35202462,Ontario,1028,4,0.451,4,0.579,5,2.440,4,0.295
35202466,Ontario,649,3,-0.248,4,0.536,5,2.029,2,-0.415
35202467,Ontario,605,3,-0.150,3,0.096,5,3.066,4,0.032
35202468,Ontario,923,3,-0.386,4,0.132,5,1.948,2,-0.532
35202469,Ontario,789,4,0.154,4,0.159,5,2.586,2,-0.505
35202472,Ontario,779,5,1.404,5,4.243,5,4.521,4,-0.009
35202475,Ontario,525,3,-0.319,2,-0.328,5,2.188,1,-0.747
35202476,Ontario,646,3,-0.488,4,0.215,5,2.331,3,-0.094
35202477,Ontario,593,3,-0.373,3,-0.145,5,3.183,2,-0.535
35202478,Ontario,672,2,-0.619,2,-0.457,5,2.109,2,-0.425
35202479,Ontario,470,1,-0.842,3,-0.161,5,2.535,1,-0.831
35202480,Ontario,439,1,-0.826,4,0.388,5,2.625,2,-0.539
35202481,Ontario,398,1,-0.864,3,0.074,5,2.261,2,-0.538
35202482,Ontario,523,2,-0.593,4,0.401,5,2.757,3,-0.175
35202483,Ontario,1113,2,-0.743,5,0.925,5,2.143,2,-0.561
35202484,Ontario,257,4,0.336,2,-0.508,5,2.632,3,-0.160
35202485,Ontario,279,3,-0.195,4,0.635,5,1.995,4,0.294
35202486,Ontario,434,2,-0.572,3,-0.193,5,2.919,2,-0.342
35202487,Ontario,287,1,-1.295,4,0.554,5,1.088,1,-0.927
35202491,Ontario,567,1,-1.038,3,-0.058,5,1.219,2,-0.467
35202492,Ontario,378,2,-0.577,4,0.198,5,1.783,2,-0.399
35202493,Ontario,316,1,-1.042,4,0.556,5,0.930,1,-0.847
35202494,Ontario,427,1,-1.088,5,1.281,5,1.110,2,-0.483
35202495,Ontario,384,3,-0.277,3,0.040,5,2.603,2,-0.419
35202496,Ontario,652,2,-0.548,2,-0.420,5,1.691,2,-0.609
35202497,Ontario,413,3,-0.292,4,0.666,5,2.326,3,-0.262
35202498,Ontario,573,4,-0.034,4,0.537,5,2.656,3,-0.162
35202499,Ontario,720,5,1.204,2,-0.585,5,4.089,3,-0.218
35202500,Ontario,491,2,-0.595,3,-0.123,5,1.612,3,-0.163
35202501,Ontario,1059,5,1.329,3,-0.100,5,2.477,1,-0.678
35202502,Ontario,392,3,-0.398,4,0.538,5,2.194,1,-0.684
35202503,Ontario,543,4,0.694,3,-0.236,5,2.542,2,-0.577
35202504,Ontario,531,2,-0.633,4,0.342,5,1.936,2,-0.501
35202507,Ontario,437,3,-0.137,3,-0.054,5,2.963,2,-0.437
35202508,Ontario,467,2,-0.583,5,0.831,5,2.251,2,-0.426
35202509,Ontario,482,1,-0.853,5,0.923,5,2.143,3,-0.316
35202510,Ontario,863,5,1.410,2,-0.621,5,2.914,3,-0.106
35202511,Ontario,714,3,-0.260,4,0.557,5,1.947,3,-0.185
35202512,Ontario,489,3,-0.208,4,0.139,5,2.424,3,-0.117
35202513,Ontario,424,2,-0.625,4,0.577,5,1.268,2,-0.565
35202514,Ontario,422,2,-0.651,5,0.731,5,1.384,3,-0.316
35202515,Ontario,618,2,-0.638,4,0.522,5,1.758,2,-0.372
35202516,Ontario,490,3,-0.290,3,0.072,5,2.148,4,0.085
35202517,Ontario,501,3,-0.277,3,0.038,5,2.204,3,-0.283
35202522,Ontario,631,3,-0.148,1,-0.816,5,1.857,2,-0.427
35202523,Ontario,574,4,0.111,3,0.083,5,2.070,3,-0.085
35202529,Ontario,1010,5,2.013,3,-0.048,5,3.307,3,-0.290
35202534,Ontario,891,3,-0.430,3,-0.299,5,1.368,2,-0.609
35202535,Ontario,451,3,-0.475,5,0.696,5,2.034,1,-0.748
35202547,Ontario,868,5,1.105,2,-0.562,5,2.100,2,-0.387
35202548,Ontario,494,4,-0.007,3,-0.319,5,1.687,3,-0.141
35202549,Ontario,489,3,-0.325,2,-0.396,5,0.736,3,-0.118
35202550,Ontario,498,5,2.026,1,-1.129,5,3.486,2,-0.494
35202551,Ontario,417,5,1.735,5,1.340,5,0.915,2,-0.582
35202553,Ontario,1081,5,1.719,2,-0.565,5,2.871,4,0.161
35202554,Ontario,988,5,1.593,2,-0.598,5,2.959,3,-0.098
35202555,Ontario,674,5,2.126,2,-0.686,5,3.705,4,0.109
35202560,Ontario,504,4,0.733,1,-0.941,5,2.007,2,-0.454
35202564,Ontario,547,2,-0.707,5,0.950,5,0.931,1,-0.634
35202565,Ontario,615,3,-0.102,3,-0.144,4,0.132,1,-0.639
35202566,Ontario,871,3,-0.123,2,-0.477,5,0.723,2,-0.465
35202567,Ontario,782,2,-0.603,3,0.093,4,0.305,2,-0.573
35202568,Ontario,971,4,0.435,3,-0.096,5,1.152,1,-0.713
35202569,Ontario,812,4,0.807,2,-0.467,5,2.017,2,-0.608
35202570,Ontario,579,2,-0.727,2,-0.544,3,-0.297,2,-0.611
35202571,Ontario,636,4,0.462,4,0.463,5,1.000,1,-0.742
35202572,Ontario,737,3,-0.409,3,-0.288,5,1.342,2,-0.498
35202573,Ontario,650,2,-0.609,3,-0.016,4,0.333,2,-0.562
35202574,Ontario,420,3,-0.445,3,0.035,4,0.207,2,-0.495
35202575,Ontario,588,2,-0.580,3,0.081,5,1.100,1,-0.651
35202576,Ontario,497,3,-0.386,3,-0.021,5,1.017,1,-0.800
35202577,Ontario,506,2,-0.806,3,-0.151,4,0.298,2,-0.453
35202583,Ontario,676,2,-0.510,2,-0.376,5,1.518,1,-0.743
35202584,Ontario,512,2,-0.538,3,0.073,5,1.763,3,-0.324
35202585,Ontario,668,3,-0.380,5,1.052,5,2.127,3,-0.143
35202586,Ontario,525,3,-0.314,4,0.508,5,1.891,3,-0.280
35202587,Ontario,607,3,-0.165,4,0.556,5,1.613,3,-0.249
35202588,Ontario,291,3,-0.383,5,0.731,5,0.913,1,-0.647
35202589,Ontario,870,5,0.965,5,2.076,5,1.278,1,-0.760
35202590,Ontario,428,3,-0.272,3,0.101,5,1.046,2,-0.458
35202591,Ontario,930,5,1.580,3,-0.321,5,2.815,4,-0.033
35202592,Ontario,484,1,-1.229,4,0.192,4,0.099,1,-1.018
35202593,Ontario,508,1,-0.864,4,0.216,5,1.870,4,0.094
35202594,Ontario,355,1,-1.134,4,0.347,4,0.310,2,-0.383
35202597,Ontario,481,2,-0.769,4,0.248,4,0.197,1,-0.653
35202598,Ontario,394,1,-0.874,1,-1.041,4,0.298,1,-0.781
35202599,Ontario,526,2,-0.545,2,-0.424,4,0.485,2,-0.504
35202600,Ontario,447,2,-0.528,2,-0.420,4,0.375,2,-0.509
35202605,Ontario,505,5,1.513,5,1.441,5,1.699,3,-0.311
35202606,Ontario,643,3,-0.466,3,-0.210,4,0.415,1,-0.812
35202608,Ontario,778,3,-0.418,3,-0.240,4,0.403,1,-1.000
35202611,Ontario,423,1,-1.031,2,-0.682,5,0.928,3,-0.217
35202612,Ontario,689,1,-0.834,4,0.542,5,1.926,1,-0.715
35202613,Ontario,626,2,-0.796,3,0.022,5,1.206,1,-0.646
35202614,Ontario,418,1,-0.961,4,0.144,5,0.923,1,-0.698
35202615,Ontario,440,1,-0.861,3,-0.064,5,1.036,1,-0.753
35202616,Ontario,528,1,-1.205,3,-0.232,4,0.609,1,-0.941
35202617,Ontario,572,1,-1.009,4,0.263,5,1.259,2,-0.520
35202618,Ontario,668,5,2.039,1,-0.878,5,1.243,3,-0.222
35202619,Ontario,609,3,-0.434,4,0.255,5,1.878,2,-0.473
35202620,Ontario,1963,4,0.725,4,0.291,5,1.239,1,-1.150
35202621,Ontario,474,3,-0.376,4,0.414,5,1.977,3,-0.251
35202622,Ontario,443,2,-0.609,3,0.010,4,0.105,1,-0.905
35202623,Ontario,224,1,-1.374,2,-0.364,5,0.814,2,-0.464
35202627,Ontario,480,4,-0.031,3,-0.186,5,1.542,1,-0.851
35202628,Ontario,1591,5,1.020,2,-0.344,5,2.244,1,-1.014
35202629,Ontario,412,3,-0.429,4,0.388,4,0.592,3,-0.294
35202630,Ontario,564,1,-0.891,4,0.487,5,0.989,1,-0.996
35202636,Ontario,512,1,-1.191,3,0.021,3,-0.362,1,-0.852
35202637,Ontario,583,2,-0.801,1,-1.008,3,-0.282,1,-0.674
35202638,Ontario,520,2,-0.724,2,-0.588,4,-0.001,2,-0.581
35202639,Ontario,528,1,-0.891,2,-0.697,3,-0.290,2,-0.569
35202640,Ontario,939,4,0.736,1,-1.170,4,0.413,3,-0.143
35202641,Ontario,569,2,-0.611,2,-0.419,4,0.451,1,-0.698
35202642,Ontario,500,1,-0.887,2,-0.467,3,-0.298,1,-1.012
35202643,Ontario,570,1,-1.142,2,-0.633,3,-0.217,1,-0.627
35202644,Ontario,478,2,-0.732,3,-0.200,3,-0.311,2,-0.536
35202645,Ontario,388,3,-0.108,3,-0.188,3,-0.430,1,-1.003
35202646,Ontario,590,4,-0.031,2,-0.781,4,0.158,2,-0.478
35202647,Ontario,677,4,0.351,1,-0.826,4,-0.042,1,-0.957
35202648,Ontario,566,5,0.873,3,-0.229,4,0.384,1,-0.671
35202649,Ontario,738,4,0.265,2,-0.390,4,0.577,1,-0.707
35202650,Ontario,841,5,0.829,1,-0.834,4,0.061,2,-0.384
35202653,Ontario,312,2,-0.626,3,-0.284,4,0.056,1,-1.027
35202654,Ontario,1335,5,2.639,2,-0.384,4,0.562,1,-0.967
